identifier,river,basin,country,satellite,track_nb,start_date,end_date,latitude,longitude,status,validation
82213000040151,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.59494375864374,-134.06696416663206,active,none
82213000040161,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.5938810779836,-134.06312670419248,active,none
82213000040171,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.59275552416175,-134.05929209600876,active,none
82213000040181,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.59161912048458,-134.05545827163277,active,none
82213000040191,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.59053311372783,-134.0519754202731,active,none
82213000040201,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.58952236820787,-134.0484898556481,active,none
82213000040211,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.5884807738848,-134.04465324547257,active,none
82213000040221,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.58736734367558,-134.0408198736301,active,none
82213000040231,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.58630254822336,-134.03733744561958,active,none
82213000040241,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.58518535558525,-134.03350492632148,active,none
82213000040251,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.58407166286315,-134.0296726140421,active,none
82213000040261,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.58297434239249,-134.02619250421887,active,none
82213000040271,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.58164017954286,-134.02272249711112,active,none
82213000040281,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.5804350887453,-134.01924752321654,active,none
82213000040291,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.57928373458769,-134.01577066809165,active,none
82213000040301,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.57807849542144,-134.01229640072611,active,none
82213000040311,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.57681937134649,-134.00882473507255,active,none
82213000040321,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.57561398392285,-134.00535118341722,active,none
82213000040331,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.57438378427616,-134.0022314061039,active,none
82213000040341,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.57315352261102,-133.99911196508174,active,none
82213000040351,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.57178649630919,-133.99564629311251,active,none
82213000040361,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.57055611064236,-133.99252752455072,active,none
82213000040371,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.56932346773196,-133.98905687681778,active,none
82213000040381,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.56809075577843,-133.9855865729325,active,none
82213000040391,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.5668601751282,-133.98246882604005,active,none
82213000040401,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.56549279446466,-133.97900503621395,active,none
82213000040411,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.5642620899319,-133.97588796138018,active,none
82213000040421,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.56303132347549,-133.97277122251478,active,none
82213000040431,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.56169602248404,-133.96930714582535,active,none
82213000040441,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.56053284009423,-133.9658359420692,active,none
82213000040451,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.55930501156963,-133.96236790686885,active,none
82213000040461,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.5581093951512,-133.95889881617387,active,none
82213000040471,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.55693522871448,-133.95542912225918,active,none
82213000040481,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.55563184454351,-133.9519654904963,active,none
82213000040491,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.55442524432752,-133.94849793512776,active,none
82213000040501,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.55322933218551,-133.94503025753235,active,none
82213000040511,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.55208715586971,-133.9415605258798,active,none
82213000040521,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.55099871522253,-133.93808871504797,active,none
82213000040531,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.54988277548104,-133.93426643570146,active,none
82213000040541,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.5487308756141,-133.9304461292844,active,none
82213000040551,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.54762067392787,-133.9269762937563,active,none
82213000040561,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.54666106476768,-133.9234999454467,active,none
82213000040571,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.54546227446978,-133.91968281674323,active,none
82213000040581,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.54415577860377,-133.91587098519915,active,none
82213000040591,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.54311488858356,-133.91275123659267,active,none
82213000040601,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.54184915702851,-133.90929020601206,active,none
82213000040611,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.54065958646004,-133.9058260070632,active,none
82213000040621,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.5394274790995,-133.90271601162408,active,none
82213000050011,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.53805840239882,-133.89926083354823,active,none
82213000050021,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.53682617170941,-133.89615150841163,active,none
82213000050031,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.53545935710366,-133.89304880096395,active,none
82213000050041,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.5339586372594,-133.89005120412892,active,none
82213000050051,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.53259489441169,-133.8874134077387,active,none
82213000050061,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.53123072202055,-133.88471965028242,active,none
82213000050071,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.52973088202769,-133.8818731497434,active,none
82213000050081,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.5282316425964,-133.87912075554118,active,none
82213000050091,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.52673378542569,-133.8765749751398,active,none
82213000050101,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.52523452038068,-133.87383264143307,active,none
82213000050111,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.52386973082176,-133.87108425519529,active,none
82213000050121,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.52237168287293,-133.86853007319905,active,none
82213000050131,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.52073825277344,-133.8658654800011,active,none
82213000050141,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.5192419317113,-133.86356969401263,active,none
82213000050151,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.51774557675107,-133.86127420775472,active,none
82213000050161,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.51624806826807,-133.85881969199494,active,none
82213000050171,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.51475177888611,-133.85654353291892,active,none
82213000050181,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.51325366758886,-133.85401466884485,active,none
82213000050191,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.51175452085312,-133.8513455862988,active,none
82213000050201,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.51012147471126,-133.84877705102738,active,none
82213000050211,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.50862107328541,-133.8459447061049,active,none
82213000050221,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.50725782023379,-133.84348086514646,active,none
82213000050231,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.50575749325229,-133.84067262150293,active,none
82213000050241,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.50439189191128,-133.8378932593407,active,none
82213000050251,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.50316950094425,-133.83482612913548,active,none
82213000050261,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.50199269232488,-133.83137060346155,active,none
82213000050271,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.50079428701862,-133.8279164836504,active,none
82213000050281,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.49953765480832,-133.82411430734808,active,none
82213000050291,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.49831680822575,-133.82031073900788,active,none
82213000050301,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.49711816783329,-133.8168577150903,active,none
82213000050311,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.495940977123,-133.81340396041935,active,none
82213000050321,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.4947716761016,-133.81030136860883,active,none
82213000050331,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.4935377444335,-133.807202333117,active,none
82213000050341,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.49216871794218,-133.80404016980648,active,none
82213000050351,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.49080066818931,-133.8010187900192,active,none
82213000050361,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.48943277315809,-133.79802583152747,active,none
82213000050371,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.48793232398508,-133.79531147606116,active,none
82213000050381,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.4862975209122,-133.7926323687614,active,none
82213000050391,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.48466792242012,-133.79065550484952,active,none
82213000050401,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.48304197685125,-133.78917019634784,active,none
82213000050411,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.48128275090303,-133.78785904445945,active,none
82213000050421,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47952627167471,-133.78691564980647,active,none
82213000050431,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47777068913972,-133.78609268690352,active,none
82213000050441,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47601773684568,-133.7856206483252,active,none
82213000050451,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47426884722255,-133.78568989735075,active,none
82213000050461,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47238137447536,-133.78522483470684,active,none
82213000050471,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47062909619356,-133.7848431596518,active,none
82213000050481,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.468877720785,-133.78458177536965,active,none
82213000050491,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46712546547184,-133.78420354395004,active,none
82213000050501,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46537195287381,-133.78365838612598,active,none
82213000050511,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46361690476353,-133.78290960770687,active,none
82213000050521,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46186059522425,-133.78199398527238,active,none
82213000050531,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.4601044564107,-133.78110186836201,active,none
82213000050541,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45847947902953,-133.77975895830778,active,none
82213000050551,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45684972039851,-133.77778527914901,active,none
82213000050561,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45521675157977,-133.77539126287607,active,none
82213000050571,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45371567450005,-133.7726495055815,active,none
82213000050581,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45237676419526,-133.76929668151402,active,none
82213000050591,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45134654594857,-133.76549350470725,active,none
82213000050601,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45075835885832,-133.76131708163635,active,none
82213000050611,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45055682660693,-133.75677011269642,active,none
82213000050621,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.4502807193682,-133.75187655166215,active,none
82215000010011,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45034892945675,-133.74661439050064,active,none
82215000010021,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45079154956566,-133.7423841644479,active,none
82215000010031,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45111730136912,-133.73780936480904,active,none
82215000010041,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45169786695153,-133.7332208867315,active,none
82215000010051,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45245400598635,-133.7289734038579,active,none
82215000010061,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45341188280176,-133.72506546041126,active,none
82215000010071,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45455717077587,-133.72149776735037,active,none
82215000010081,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45555172227054,-133.71793784478047,active,none
82215000010091,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45665380686725,-133.7143718128981,active,none
82215000010101,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.4577988569073,-133.7108031169736,active,none
82215000010111,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45892230522665,-133.7072352515774,active,none
82215000010121,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46017480797606,-133.70366001103278,active,none
82215000010131,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46133038076296,-133.70008969061738,active,none
82215000010141,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46246435177598,-133.69652019932954,active,none
82215000010151,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46336045610774,-133.69261266213104,active,none
82215000010161,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46422313275794,-133.68835588179078,active,none
82215000010171,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46513338965659,-133.68444696179108,active,none
82215000010181,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46600767846307,-133.68053972084508,active,none
82215000010191,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46694177591925,-133.67627804682425,active,none
82215000010201,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46772331283756,-133.67202454648574,active,none
82215000010211,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46847713839307,-133.66812316148827,active,none
82215000010221,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46914836577275,-133.66422615760402,active,none
82215000010231,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47001029142005,-133.65996731984424,active,none
82215000010241,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.4707196578877,-133.65571679545073,active,none
82215000010251,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47145581443401,-133.65146448792348,active,none
82215000010261,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47212908690238,-133.64721549389424,active,none
82215000010271,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47268528793028,-133.64262201671437,active,none
82215000010281,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47320933515577,-133.63803016565686,active,none
82215000010291,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47360001903085,-133.63344576561278,active,none
82215000010301,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47408281151833,-133.62885589856066,active,none
82215000010311,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47431608926179,-133.62463121517501,active,none
82215000010321,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47441687670762,-133.62006318175548,active,none
82215000010331,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47426729256652,-133.61515875103618,active,none
82215000010341,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47420512382492,-133.61060019559162,active,none
82215000010351,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47397372661408,-133.60605158348034,active,none
82215000010361,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47372298935012,-133.60150418627282,active,none
82215000010371,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47346443488827,-133.59695734059133,active,none
82215000010381,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47290855733776,-133.59242818688793,active,none
82215000010391,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47222623019627,-133.58825765406274,active,none
82215000010401,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47136445238812,-133.5840980402794,active,none
82215000010411,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.47047516049422,-133.58029124155945,active,none
82215000010421,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46943154175028,-133.57649396932064,active,none
82215000010431,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46827664447093,-133.57270369172107,active,none
82215000010441,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46710503314759,-133.56926562497665,active,none
82215000010451,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46587727728087,-133.56618208796993,active,none
82215000010461,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46450232351344,-133.5628972913651,active,none
82215000010471,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46299717282417,-133.56011182026594,active,none
82215000010481,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.46149510132622,-133.55767727615842,active,none
82215000010491,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45999474761405,-133.55543933963455,active,none
82215000010501,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.4584929405157,-133.5530427866132,active,none
82215000010511,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45685730460356,-133.5507341696553,active,none
82215000010521,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45522310540107,-133.54858941962615,active,none
82215000010531,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.4535920296743,-133.5467954099614,active,none
82215000010541,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45196156472262,-133.5450717322848,active,none
82215000010551,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.45033276617254,-133.5435351679388,active,none
82215000010561,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.44870690374044,-133.5423258277505,active,none
82215000010571,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.4469471290359,-133.54119162833194,active,none
82215000010581,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.44518930595753,-133.54027445947423,active,none
82215000010591,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.44343226182252,-133.5394441656599,active,none
82215000010601,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.44155009022354,-133.53965969715003,active,none
82215000010611,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.43980423285318,-133.5400671048545,active,none
82215000010621,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.43805674591069,-133.54029433030107,active,none
82215000010631,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.43631320612029,-133.54095843357467,active,none
82215000010641,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.43456773508065,-133.54140899485628,active,none
82215000010651,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.43282828356438,-133.54252643215395,active,none
82215000010661,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.43109080773888,-133.5438637698931,active,none
82215000010671,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.42935533377047,-133.54542431325726,active,none
82215000010681,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.42774987851288,-133.5464796638134,active,none
82215000010691,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.42601236828241,-133.54781642722247,active,none
82215000010701,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.42414366483538,-133.54953119671478,active,none
82215000020011,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.42240759483005,-133.55103087030156,active,none
82215000020021,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.42066714552585,-133.55204370349898,active,none
82215000020031,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.41878764061185,-133.55255797862577,active,none
82215000020041,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.41703884508318,-133.5526407798747,active,none
82215000020051,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.41528329345172,-133.55197048779047,active,none
82215000020061,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.41352094700493,-133.55054392479266,active,none
82215000020071,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.41188967918117,-133.54872956839964,active,none
82215000020081,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.41025713078594,-133.5467755353968,active,none
82215000020091,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.40862666230913,-133.54505495663003,active,none
82215000020101,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.40699828041645,-133.54356778802082,active,none
82215000020111,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.40536988467822,-133.54208082240277,active,none
82215000020121,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.40360823451297,-133.54074217033343,active,none
82215000020131,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.40184509548541,-133.53924052534921,active,none
