identifier,river,basin,country,satellite,track_nb,start_date,end_date,latitude,longitude,status,validation
82213000040011,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.61000673408633,-134.11895302039812,active,none
82213000040021,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.60884674964326,-134.11546736052608,active,none
82213000040031,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.60768669058572,-134.11198204113722,active,none
82213000040041,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.60651579451813,-134.10849746856996,active,none
82213000040051,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.60532329909839,-134.10501405885105,active,none
82213000040061,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.60416301634709,-134.10152977386383,active,none
82213000040071,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.60293971223955,-134.0976954294076,active,none
82213000040081,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.60196547358522,-134.09349913135938,active,none
82213000040091,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.6010612665907,-134.0896532611018,active,none
82213000040101,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.59999751636273,-134.08616661072912,active,none
82213000040111,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.59900524093126,-134.08232475959997,active,none
82213000040121,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.59792298284816,-134.07813399454358,active,none
82213000040131,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.59696998246437,-134.0742912635032,active,none
82213000040141,Mackenzie,Mackenzie,Canada,SWOT,xx,2023-12-01,2024-12-31,67.59595971488831,-134.07080379629662,active,none
