             ID                                                       Station                           River                           Basin                         Country       lon       lat elevation     EGM08     EGM96        Satellite       Start Date         End Date       Status
000000000000218                       R_GANGES-BRAHMAPUTRA_BRAHMAPUTRA_KM0218              GANGES-BRAHMAPUTRA                     BRAHMAPUTRA                      Bangledesh   84.4585   29.5278  -99.0000  -27.3960  -28.0100        CryoSat-2       2012-06-10       2012-06-10  operational
000000000000219                       R_GANGES-BRAHMAPUTRA_BRAHMAPUTRA_KM0219              GANGES-BRAHMAPUTRA                     BRAHMAPUTRA                      Bangledesh   84.4659   29.5240  -99.0000  -27.4050  -28.0200        CryoSat-2       2013-06-13       2013-06-13  operational
000000000000222                       R_GANGES-BRAHMAPUTRA_BRAHMAPUTRA_KM0222              GANGES-BRAHMAPUTRA                     BRAHMAPUTRA                      Bangledesh   84.4953   29.5219  -99.0000  -27.4290  -28.0300        CryoSat-2       2010-11-22       2010-11-22  operational
000000000000223                       R_GANGES-BRAHMAPUTRA_BRAHMAPUTRA_KM0223              GANGES-BRAHMAPUTRA                     BRAHMAPUTRA                      Bangledesh   84.4980   29.5191  -99.0000  -27.4320  -28.0300        CryoSat-2       2010-11-22       2010-11-22  operational
000000000000224                       R_GANGES-BRAHMAPUTRA_BRAHMAPUTRA_KM0224              GANGES-BRAHMAPUTRA                     BRAHMAPUTRA                      Bangledesh   84.5052   29.5135  -99.0000  -27.4390  -28.0300        CryoSat-2       2010-11-22       2010-11-22  operational
000000000000225                       R_GANGES-BRAHMAPUTRA_BRAHMAPUTRA_KM0225              GANGES-BRAHMAPUTRA                     BRAHMAPUTRA                      Bangledesh   84.5174   29.5051  -99.0000  -27.4490  -28.0400        CryoSat-2       2010-11-22       2010-11-22  operational
000000000000226                       R_GANGES-BRAHMAPUTRA_BRAHMAPUTRA_KM0226              GANGES-BRAHMAPUTRA                     BRAHMAPUTRA                      Bangledesh   84.5211   29.5023  -99.0000  -27.4510  -28.0500        CryoSat-2       2010-11-22       2010-11-22  operational
000000000000227                       R_GANGES-BRAHMAPUTRA_BRAHMAPUTRA_KM0227              GANGES-BRAHMAPUTRA                     BRAHMAPUTRA                      Bangledesh   84.5269   29.4941  -99.0000  -27.4510  -28.0500        CryoSat-2       2010-11-22       2010-11-22  operational
000000000000228                       R_GANGES-BRAHMAPUTRA_BRAHMAPUTRA_KM0228              GANGES-BRAHMAPUTRA                     BRAHMAPUTRA                      Bangledesh   84.5300   29.4855  -99.0000  -27.4460  -28.0600        CryoSat-2       2013-06-13       2013-06-13  operational
000000000000228                       R_GANGES-BRAHMAPUTRA_BRAHMAPUTRA_KM0228              GANGES-BRAHMAPUTRA                     BRAHMAPUTRA                      Bangledesh   84.5290   29.4860  -99.0000  -27.4450  -28.0600        CryoSat-2       2010-11-22       2010-11-22  operational
000000000000230                       R_GANGES-BRAHMAPUTRA_BRAHMAPUTRA_KM0230              GANGES-BRAHMAPUTRA                     BRAHMAPUTRA                      Bangledesh   84.5163   29.4742  -99.0000  -27.4180  -28.0500        CryoSat-2       2011-06-08       2011-06-08  operational
000000000000230                       R_GANGES-BRAHMAPUTRA_BRAHMAPUTRA_KM0230              GANGES-BRAHMAPUTRA                     BRAHMAPUTRA                      Bangledesh   84.5165   29.4730  -99.0000  -27.4160  -28.0500        CryoSat-2       2010-11-22       2010-11-22  operational
000000000000230                       R_GANGES-BRAHMAPUTRA_BRAHMAPUTRA_KM0230              GANGES-BRAHMAPUTRA                     BRAHMAPUTRA                      Bangledesh   84.5115   29.4705  -99.0000  -27.4090  -28.0500        CryoSat-2       2010-11-22       2010-11-22  operational
000000000000230                       R_GANGES-BRAHMAPUTRA_BRAHMAPUTRA_KM0230              GANGES-BRAHMAPUTRA                     BRAHMAPUTRA                      Bangledesh   84.5097   29.4678  -99.0000  -27.4040  -28.0500        CryoSat-2       2010-11-22       2010-11-22  operational
000000000000230                       R_GANGES-BRAHMAPUTRA_BRAHMAPUTRA_KM0230              GANGES-BRAHMAPUTRA                     BRAHMAPUTRA                      Bangledesh   84.5077   29.4658  -99.0000  -27.4000  -28.0500        CryoSat-2       2011-06-08       2011-06-08  operational
