lats,lons,pnames,flag,RMSE(ordinary),bias(ordinary),corr(ordinary)
-43.5,-69.12,R_CHUBUT_CHUBUT_KM0575,10,8.65142,-8.643188,0.39280665049085894
-47.68,-66.87,R_DESEADO_DESEADO_KM0094,10,6.151516,-6.0383205,-0.2034299907134991
-47.19,-67.25,R_DESEADO_DESEADO_KM0171,20,1.3253906,-1.2596893,-0.24812749952689145
-47.08,-67.67,R_DESEADO_DESEADO_KM0216,10,4.318751,-4.29393,-0.5604104891562661
-41.0,-62.8,R_NEGRO2_NEGRO_KM0001,10,1.2161849,-0.6732962,0.08820077441041581
-40.8,-63.03,R_NEGRO2_NEGRO_KM0032,10,1.6483037,1.0902005,0.0045130249888878015
-40.71,-63.36,R_NEGRO2_NEGRO_KM0068,10,1.1411732,-0.62227964,0.05273787831170805
-40.7,-63.42,R_NEGRO2_NEGRO_KM0075,10,4.2343726,-4.202219,0.06815811464006769
-40.67,-63.45,R_NEGRO2_NEGRO_KM0083,10,1.3228809,-0.8639736,0.30135159536041584
-40.41,-63.83,R_NEGRO2_NEGRO_KM0146,10,4.7181067,-4.619528,-0.01282808433736815
-40.33,-63.96,R_NEGRO2_NEGRO_KM0169,10,5.9628844,-5.9068394,0.0800716030177444
-40.16,-64.22,R_NEGRO2_NEGRO_KM0210,10,0.5961601,0.22879028,0.698748916772711
-40.08,-64.51,R_NEGRO2_NEGRO_KM0247,10,4.5601096,-4.464649,0.006714559802681526
-40.07,-64.59,R_NEGRO2_NEGRO_KM0256,10,7.614827,-7.574997,0.267512057541774
-40.03,-64.64,R_NEGRO2_NEGRO_KM0266,10,5.014315,-4.957447,-0.06933146582669512
-48.7,-68.32,R_SECO_SECO_KM0132,10,2.1318839,2.126297,-0.15808161133976056
-36.97,-73.01,R_BIOBIO_BIOBIO_KM0025,10,8.134529,-8.117992,0.7899643213422731
-38.62,-63.11,R_ARROYO-PELICURA_ARROYO-PELICURA_KM0001,10,0.4106472,-0.21890068,0.3179578387369256
-37.16,-72.93,R_BIOBIO_BIOBIO_KM0055,10,9.403796,-9.396877,0.7612406420917285
-39.55,-62.61,R_COLORADO-01_COLORADO_KM0073,10,0.721063,0.4590559,-0.09824448973760443
-37.37,-72.67,R_BIOBIO_BIO-BIO_KM0093,10,5.082484,-4.970051,0.484057300323859
-39.52,-62.83,R_COLORADO-01_COLORADO_KM0097,10,1.6756248,1.6383953,0.7162074274461396
-37.23,-72.63,R_BIOBIO_LAJA_KM0090,10,16.595531,-16.583714,0.668263439630165
-37.21,-72.45,R_BIOBIO_LAJA_KM0111,10,3.718583,-3.6528473,0.26740770198083247
-39.48,-63.06,R_COLORADO-01_COLORADO_KM0126,10,3.1973367,-3.1235905,0.5961377872561378
-38.71,-72.91,R_CAUTIN_CHOL-CHOL_KM0067,10,3.5892613,-3.5755844,0.9350611170420019
-39.33,-63.36,R_COLORADO-01_COLORADO_KM0172,10,4.2248898,-4.167351,0.22397052933623862
-38.75,-73.36,R_CAUTIN_IMPERIAL_KM0005,10,0.85951567,0.7250676,0.4158523907731202
-39.32,-63.47,R_COLORADO-01_COLORADO_KM0184,10,3.403882,-3.3057137,0.2555157295235681
-38.72,-73.35,R_CAUTIN_IMPERIAL_KM0008,10,0.67026955,0.49147546,0.7058540168475683
-39.1,-63.87,R_COLORADO-01_COLORADO_KM0254,10,6.8196535,-6.78067,-0.0411885555329332
-38.71,-73.1,R_CAUTIN_IMPERIAL_KM0039,10,1.7388977,1.6632698,0.8853001253964504
-39.11,-63.9,R_COLORADO-01_COLORADO_KM0257,10,7.9035788,-7.878334,0.5308947206732232
-38.81,-72.88,R_CAUTIN_QUEPE_KM0064,10,1.3118744,-1.2056293,0.5857363139902437
-38.91,-64.28,R_COLORADO-01_COLORADO_KM0311,10,2.3531208,-2.1194687,0.3392489551157256
-36.39,-72.83,R_ITATA_ITATA_KM0002,10,1.0451727,-1.0027521,0.7181860868054553
-38.87,-64.44,R_COLORADO-01_COLORADO_KM0335,10,2.5537643,-2.384636,0.19253543682332636
-36.51,-72.66,R_ITATA_ITATA_KM0026,10,4.979775,-4.9616385,0.6782146393835979
-38.83,-64.92,R_COLORADO-01_COLORADO_KM0385,10,2.3871858,-2.3322372,0.611833884478277
-36.64,-72.45,R_ITATA_NUBLE_KM0053,20,7.119633,-7.1024513,0.6743522566605176
-38.81,-65.18,R_COLORADO-01_COLORADO_KM0412,10,5.3867774,-5.3558884,0.32652307321608687
-38.84,-65.39,R_COLORADO-01_COLORADO_KM0437,10,9.500432,-9.481247,0.1776612433944172
-38.81,-65.47,R_COLORADO-01_COLORADO_KM0447,10,13.812205,-13.804199,0.41012145985376564
-35.0,-71.95,R_MATAQUITO_MATAQUITO_KM0032,10,1.5766716,1.5478411,0.2672627055848426
-38.82,-65.65,R_COLORADO-01_COLORADO_KM0473,10,8.244242,-8.233017,0.63384847978379
-35.42,-72.08,R_MAULE_MAULE_KM0042,10,2.5091603,-2.4532557,0.5199553409948282
-38.79,-65.87,R_COLORADO-01_COLORADO_KM0505,10,5.0168395,-4.996994,0.33319449619741137
-35.43,-72.06,R_MAULE_MAULE_KM0045,10,3.9823034,-3.9001932,-0.07223117602121731
-38.73,-66.09,R_COLORADO-01_COLORADO_KM0537,10,4.0564804,-4.0118713,0.39769527538621324
-38.75,-66.35,R_COLORADO-01_COLORADO_KM0572,10,3.405358,-3.3615723,0.5281890317150173
-35.83,-71.94,R_MAULE_PERQUILAUQUEN_KM0138,20,4.41772,4.3992767,0.6782094715467625
-38.7,-66.55,R_COLORADO-01_COLORADO_KM0598,10,1.4039266,-1.3710175,0.0661347421906678
-37.37,-70.33,R_NEGRO2_NEUQUEN_KM1159,20,15.222464,-15.207397,0.43443993865528513
-38.45,-66.93,R_COLORADO-01_COLORADO_KM0659,10,0.38319442,-0.12632751,0.6012509769043052
-38.25,-67.34,R_COLORADO-01_COLORADO_KM0722,10,2.510633,2.3614502,0.21582592268372444
-34.0,-71.66,R_RAPEL_RAPEL_KM0033,20,1.6823837,-1.2077923,-0.3013429828917402
-38.25,-67.44,R_COLORADO-01_COLORADO_KM0732,10,2.0656652,1.7367859,0.43822616472829684
-38.07,-67.75,R_COLORADO-01_COLORADO_KM0775,10,1.6450583,-1.5470886,0.7435936764415743
-34.38,-71.43,R_RAPEL_TINGUIRIRICA_KM0090,20,7.514792,-7.500473,0.2516181918401004
-39.02,-72.81,R_TOLTEN_TOLTEN_KM0064,20,23.831724,-23.807314,0.20119348798546902
-39.79,-73.02,R_VALDIVIA_CALLE-CALLE_KM0040,10,0.5396663,-0.29149967,0.6884507942081325
-36.71,-57.17,R_AJO_AJO_KM0110,10,1.0887802,1.0625505,0.49611447289773714
-39.75,-72.5,R_VALDIVIA_CALLE-CALLE_KM0105,20,8.028056,-7.961128,0.9027248534863522
-31.13,-51.79,R_CAMAQUA_CAMAQUA_KM0026,20,2.5920548,-2.2362325,0.6609141882979976
-30.97,-52.09,R_CAMAQUA_CAMAQUA_KM0080,20,3.826428,-3.711481,0.826290229464017
-37.6,-68.07,R_COLORADO-01_COLORADO_KM0887,20,17.280895,-17.251709,-0.6899639951246958
-37.45,-68.63,R_COLORADO-01_COLORADO_KM0950,10,2.7463267,-2.7216187,0.40840343421093006
-30.93,-52.55,R_CAMAQUA_CAMAQUA_KM0144,20,2.9017,-2.7821045,0.6557647819949299
