ID,station,dataname,lon,lat,satellite,flag,elevation,dist_to_mouth,kx1,ky1,kx2,ky2,dist1,dist2,rivwth,ix,iy,EGM08,EGM96,ix2,iy2,RMSE1,bias1,corr1,RMSE2,bias2,corr2
830.0,R_AMAZONAS_IGARAPE-ITAPECURU_KM0670,HydroWeb,-54.19,0.52,SENTINEL3B,30,267.4,11.89,7022,11319,6973,11368,6534.69,263.77,173.78,1259,895,-25.45,-26.61,1259,895,10.475379,-10.463226,0.8724818612003055,10.475379,-10.463226,0.8724818612003055
3769.0,R_CONGO_LEFINI_KM0866,HydroWeb,15.4,-3.04,SENTINEL3B,30,316.3,15.14,6493,3631,6480,3644,1803.31,108.27,24.3,1954,930,0.61,0.93,1954,931,1.2901874,1.2623901,0.46698561955915213,0.6111295,0.008300781,0.5512221320342988
3776.0,R_CONGO_LIKOUALA-AUX-HERBES_KM1037,HydroWeb,17.17,-0.83,SENTINEL3B,30,289.9,12.62,8535,924,8608,997,9572.98,83.42,277.35,1972,908,-8.98,-8.99,1972,909,5.1682963,-4.7428894,0.3080233303897264,5.4480824,-5.0787354,0.3280980308114557
1801.0,R_AMAZONAS_PARU_KM0821,HydroWeb,-54.71,1.03,ENVISAT,30,284.9,12.75,6394,10758,6355,10758,3663.74,65.37,16.65,1254,890,-24.98,-26.87,1253,890,4.877476,-4.703583,0.8913045086975887,4.4528594,-4.2677,0.8876380750201753
1802.0,R_AMAZONAS_PARU_KM0827,HydroWeb,-54.71,1.07,ENVISAT,30,284.9,12.25,6390,10760,6346,10716,5560.69,267.36,9.0,1254,890,-24.99,-26.91,1253,890,5.5828786,-5.418274,0.8610936632341237,5.1528177,-4.9801636,0.858474565485168
664.0,R_AMAZONAS_GUAINIA_KM2713,HydroWeb,-67.16,2.14,ENVISAT,30,79.5,10.8,3409,9431,3401,9431,497.8,263.38,264.69,1129,879,-0.5,0.3,1128,879,4.444077,4.2894897,0.8974241627449421,4.5052485,4.374161,0.9014323546514936
10406.0,R_GRANDE-DE-MINDANAO_GRANDE-DE-MINDANAO_KM0087,HydroWeb,124.67,6.94,SENTINEL3A,30,3.2,12.98,5592,3709,5615,3686,3830.5,1427.83,7.2,3047,831,72.55,73.07,3047,831,1.1006091,-1.0081344,0.8384831603790333,1.1006091,-1.0081344,0.8384831603790333
7971.0,R_NILE_WHITE-NILE_KM4084,HydroWeb,30.8,9.46,SENTINEL3A,30,388.0,3.22,963,654,964,653,94.71,38.3,59.61,2108,806,-6.3,-6.74,2108,806,3.7986076,3.7956848,0.8190487232033448,3.7986076,3.7956848,0.8190487232033448
4131.0,R_CONGO_GIRI_KM1316,HydroWeb,18.13,0.84,SENTINEL3B,30,304.5,5.5,9754,10998,9754,10996,65.4,163.36,51.89,1982,892,-11.46,-10.92,1981,892,1.5273511,-0.74490356,0.5643114275966531,1.4560074,-0.6358948,0.6583929350532085
1620.0,R_AMAZONAS_TEIA_KM2101,HydroWeb,-65.18,-0.54,SENTINEL3B,30,32.4,3.72,5851,709,5785,643,8428.36,203.27,307.09,1149,907,-0.16,-1.04,1148,906,1.4484775,-0.93927765,0.7415985018574943,1.0719204,-0.5883217,0.8580615860373546
6134.0,R_SHEBELLE_JUBBA_KM0117,HydroWeb,42.77,0.22,SENTINEL3A,30,11.9,31.42,3352,11755,3331,11734,2743.19,101.93,0.0,2228,898,-33.86,-33.82,2228,899,2.3304715,1.9449186,0.6964021241140389,1.5012318,0.5714464,0.6637651043033125
4096.0,R_CONGO_LUKENIE_KM1277,HydroWeb,20.05,-3.25,SENTINEL3A,30,315.2,8.42,57,3897,54,3897,123.18,178.13,47.62,2001,933,-14.58,-14.39,2001,932,2.8829646,2.7061768,0.8622252642106858,2.9217675,2.7671814,0.857633833696237
5810.0,R_GRISALVA_GRIJALVA_KM0156,HydroWeb,-93.21,17.96,SENTINEL3A,30,9.6,2.3,8149,2494,8149,2448,4240.77,2.88,0.0,868,722,-10.87,-11.5,868,721,2.8724232,-2.7689905,0.19487964905477528,4.2993503,-4.242613,0.3453896416813868
1438.0,R_AMAZONAS_TURI_KM2570,HydroWeb,-67.87,-1.06,SENTINEL3B,30,58.1,26.84,2560,1372,2560,1276,8825.77,41.08,79.7,1123,912,8.51,8.06,1122,911,1.3757335,1.1094551,0.8233450917246657,1.074745,0.60554886,0.8450952629355468
8194.0,R_PAPALOAPAN_SAN-JUAN_KM0034,HydroWeb,-95.66,18.57,SENTINEL3B,30,0.0,24.57,5171,1719,5203,1719,2941.2,146.47,129.3,844,714,-12.09,-12.14,844,715,0.8432778,0.43438888,0.1775063829212227,1.1321857,0.7960465,0.28991501687094906
4124.0,R_CONGO_M-POKO_KM1743,HydroWeb,18.46,4.43,SENTINEL3A,30,342.8,23.61,10112,6723,10147,6687,4656.59,134.9,11.25,1985,857,-4.66,-4.85,1985,856,1.4095402,-1.0098572,0.6510488415355642,1.5417331,0.7640381,0.48871754675617923
3485.0,R_CONGO_CONGO_KM2001,HydroWeb,23.44,1.36,ENVISAT,30,357.7,7.46,4123,10375,4141,10357,1490.61,862.97,701.89,2035,887,-18.14,-17.99,2036,887,2.2416477,-1.9453735,0.584178372848512,1.8475341,-1.5040894,0.5755582503210235
4025.0,R_CONGO_LWAMA_KM2967,HydroWeb,26.92,-4.74,SENTINEL3A,30,482.5,4.12,8308,5757,8308,5691,6102.74,78.26,774.84,2070,949,-16.59,-16.42,2070,948,1.3209605,0.9213867,0.6575392344365072,1.3690431,1.2492065,0.8162176413968922
4065.0,R_CONGO_MBUJI-MAYI_KM1975,HydroWeb,23.73,-6.03,ENVISAT,30,479.8,10.21,4499,7257,4481,7239,2414.29,122.95,57.61,2038,961,-14.39,-14.12,2038,961,32.669804,-32.65155,0.18934952109781703,32.669804,-32.65155,0.18934952109781703
7652.0,R_NIGER_GONGOLA_KM1258,HydroWeb,12.05,9.56,SENTINEL3B,30,138.9,6.11,2545,605,2465,525,10571.45,236.87,395.53,1922,805,16.6,17.38,1921,804,4.922085,-4.7053223,0.6029392470101756,2.8570757,2.710907,0.6185154956478977
4224.0,R_CONGO_SANKURU_KM1287,HydroWeb,20.47,-4.27,ENVISAT,30,348.4,6.91,567,5187,567,5122,5538.24,451.65,676.8,2006,944,-12.92,-13.21,2005,943,15.614057,-15.568176,0.9250604760028115,17.48347,-17.43808,0.9289968777422581
12864.0,R_OGOOUE_LIBOUMBA_KM0800,HydroWeb,13.61,0.77,ENVISAT,30,473.0,2.44,4338,11093,4338,11079,1300.1,47.29,0.0,1937,893,5.29,4.92,1936,893,6.6780405,-6.636566,0.6077126577891385,8.6511755,-8.613342,0.6468940134467904
10881.0,R_SENEGAL_FERLO_KM0150,HydroWeb,-15.71,16.43,SENTINEL3B,30,0.0,12.04,5222,4221,5153,4290,8877.96,39.6,247.21,1644,736,30.63,30.29,1644,736,1.8101645,1.1853397,0.42972254991273423,1.8101645,1.1853397,0.42972254991273423
8862.0,R_ORINOCO_CARRAO-TRIB-03_KM0880,HydroWeb,-64.39,6.12,SENTINEL3A,30,242.9,3.45,6682,4710,6735,4657,6891.15,119.47,239.51,1156,841,-13.09,-12.2,1156,839,10.317688,10.290329,0.9133701923165906,5.5458503,-5.488983,0.9121971724279946
4292.0,R_CONGO_NZORO_KM3465,HydroWeb,29.59,3.28,ENVISAT,30,760.9,4.94,11404,8162,11503,8063,13274.6,346.4,16.65,2096,868,-10.84,-10.69,2096,867,56.84654,-56.837402,0.2557491643283936,17.88695,-17.862793,0.2424151644129263
4155.0,R_CONGO_OUBANGUI_KM2237,HydroWeb,22.06,4.22,JASON2,30,389.5,2.82,2476,6931,2462,6945,1031.37,824.68,1249.3,2022,858,-9.07,-8.91,2021,859,4.6994405,-4.421692,0.6085277998657497,3.7143464,-3.5423584,0.6470685166422673
4307.0,R_CONGO_UELE_KM2815,HydroWeb,25.9,3.7,ENVISAT,30,584.2,16.71,7078,7580,7078,7550,2202.37,850.5,219.78,2059,863,-11.5,-10.73,2059,863,3.1138852,3.041626,0.604159299125506,3.1138852,3.041626,0.604159299125506
8950.0,R_ORINOCO_GUANARE_KM1382,HydroWeb,-69.58,8.73,SENTINEL3A,30,110.0,31.85,499,1525,505,1519,678.8,101.34,28.78,1104,812,-10.56,-10.97,1105,813,6.211752,6.200325,0.5137165158877647,10.252541,-10.24057,0.5861819288015858
4342.0,R_CONGO_UERE_KM2718,HydroWeb,25.29,3.61,SENTINEL3B,30,559.2,9.71,6435,7760,6345,7670,11650.16,149.32,303.23,2054,865,-11.29,-10.7,2053,864,5.5391397,5.4089355,0.6668342808185586,6.0101724,5.8410645,0.3987398827745296
9076.0,R_ORINOCO_SIPAPO_KM1299,HydroWeb,-67.55,4.53,SENTINEL3A,30,81.5,8.26,2943,6627,2943,6562,5859.62,158.93,24.3,1125,856,-4.2,-4.52,1125,855,0.9063938,-0.08598328,0.8822221220858905,1.2176917,-0.8014908,0.8717638062939487
3072.0,R_BRAVO_FLORIDO_KM2050,HydroWeb,-104.85,27.17,SENTINEL3A,30,1361.6,12.5,6136,3393,6197,3393,3627.94,1705.71,11.25,751,630,-22.38,-22.23,752,629,13.59419,13.563843,-0.5174018143249146,11.862025,-11.838989,-0.1936737495108892
10660.0,R_SAN-PEDRO_TUNAL_KM0527,HydroWeb,-104.53,24.1,SENTINEL3B,30,1859.7,0.72,6616,7030,6564,7082,6582.85,147.67,0.0,755,659,-19.49,-19.26,754,659,0.72139937,0.55615234,-0.10088407441631984,0.70159787,0.6529541,-0.1051742571972464
10659.0,R_SAN-PEDRO_TUNAL_KM0537,HydroWeb,-104.58,24.13,SENTINEL3B,30,1860.9,7.33,6587,7004,6520,7071,7948.2,3160.38,0.0,755,659,-19.57,-19.32,754,659,2.891659,-2.8148193,-0.4135353930518363,2.742121,-2.7000732,-0.46819124716572474
5681.0,R_GANGES-BRAHMAPUTRA_GANGES_KM1805,HydroWeb,79.18,27.73,ENVISAT,30,151.8,15.92,10989,2748,11024,2713,3557.47,907.91,11.25,2591,623,-60.97,-60.82,2592,623,2.230818,2.100586,0.9206420718665461,2.9429278,-2.5558777,0.8650242286447088
5693.0,R_GANGES-BRAHMAPUTRA_GANGES_KM1806,HydroWeb,79.18,27.73,ENVISAT,30,151.8,15.92,10989,2748,11024,2713,3447.49,965.34,11.25,2591,623,-60.97,-60.82,2592,623,2.2013452,2.0772858,0.8939192904730366,3.0746267,-2.600769,0.8275038283111152
5682.0,R_GANGES-BRAHMAPUTRA_GANGES_KM1810,HydroWeb,79.17,27.77,ENVISAT,30,153.7,5.95,10949,2675,11002,2675,4954.34,614.34,11.25,2591,622,-60.85,-60.73,2592,623,2.1640787,2.001587,0.8041630882395316,3.9864943,-3.676117,0.7950012309004614
5505.0,R_GANGES-BRAHMAPUTRA_GANGES_KM1811,HydroWeb,79.16,27.78,SENTINEL3A,30,154.0,8.81,10922,2663,10998,2663,6099.12,234.41,44.76,2591,622,-60.79,-60.68,2592,623,1.7203046,1.5879517,0.7759390812862975,4.4225225,-4.1348114,0.7917570424838805
10333.0,R_BENGAL_BENGAL_KM0027,HydroWeb,93.22,20.38,SENTINEL3A,30,0.7,20.3,3849,11605,3850,11604,5386.24,5272.64,381.46,2733,696,-52.22,-52.53,2733,696,1.3349829,-1.1385748,0.554975244828037,1.3349829,-1.1385748,0.554975244828037
5514.0,R_GANGES-BRAHMAPUTRA_RAMGANGA_KM1701,HydroWeb,79.82,27.2,SENTINEL3B,30,123.3,20.15,11727,3359,11779,3359,4509.01,216.51,31.5,2599,629,-63.22,-62.85,2598,628,3.6815615,-3.3750076,0.5787206672224243,0.71927,0.3125,0.7735172814325991
5581.0,R_GANGES-BRAHMAPUTRA_RAMGANGA_KM1779,HydroWeb,79.61,27.69,SENTINEL3B,30,141.7,18.24,11497,2769,11526,2769,2575.06,312.9,56.33,2597,624,-62.53,-62.06,2597,624,0.8189101,-0.58891296,0.9260034017160775,0.8189101,-0.58891296,0.9260034017160775
