lats,lons,pnames,flag,RMSE(AltiMaP),bias(AltiMaP),corr(AltiMaP)
-41.62,-72.2,R_PUELO_PUELO_KM0014,10,2.3665667,-2.3384132,0.6431244126821971
-43.5,-69.12,R_CHUBUT_CHUBUT_KM0575,10,0.37121433,0.042999268,0.38563081984852265
-47.68,-66.87,R_DESEADO_DESEADO_KM0094,10,2.627281,2.3534546,-0.21088773902679736
-47.19,-67.25,R_DESEADO_DESEADO_KM0171,20,1.3253906,-1.2596893,-0.24812749952689145
-47.08,-67.67,R_DESEADO_DESEADO_KM0216,10,2.1423151,2.092308,-0.5734440264820548
-41.0,-62.8,R_NEGRO2_NEGRO_KM0001,10,1.2161849,-0.6732962,0.08820077441041581
-40.8,-63.03,R_NEGRO2_NEGRO_KM0032,10,1.6135583,0.9935838,0.00520131868312838
-40.71,-63.36,R_NEGRO2_NEGRO_KM0068,10,1.1411732,-0.62227964,0.05273787831170805
-40.7,-63.42,R_NEGRO2_NEGRO_KM0075,10,0.88626367,0.030851364,0.22943570351802978
-40.67,-63.45,R_NEGRO2_NEGRO_KM0083,10,1.3228809,-0.8639736,0.30135159536041584
-40.41,-63.83,R_NEGRO2_NEGRO_KM0146,10,3.0566459,-2.8814545,-0.013073444087084943
-40.33,-63.96,R_NEGRO2_NEGRO_KM0169,10,5.9628844,-5.9068394,0.0800716030177444
-40.16,-64.22,R_NEGRO2_NEGRO_KM0210,10,4.6006536,-4.5268784,0.19461222815891385
-40.08,-64.51,R_NEGRO2_NEGRO_KM0247,10,4.5601096,-4.464649,0.006714559802681526
-40.07,-64.59,R_NEGRO2_NEGRO_KM0256,10,5.1551704,-5.1287537,0.10045152750375427
-40.03,-64.64,R_NEGRO2_NEGRO_KM0266,10,2.1637282,-2.1268692,0.05412882908134021
-48.7,-68.32,R_SECO_SECO_KM0132,10,2.1318839,2.126297,-0.15808161133976056
-36.97,-73.01,R_BIOBIO_BIOBIO_KM0025,10,5.5177674,-5.49563,0.7674454610209848
-38.62,-63.11,R_ARROYO-PELICURA_ARROYO-PELICURA_KM0001,10,0.4106472,-0.21890068,0.3179578387369256
-37.16,-72.93,R_BIOBIO_BIOBIO_KM0055,10,7.052581,-7.0384007,0.43661299890126715
-39.55,-62.61,R_COLORADO-01_COLORADO_KM0073,10,4.583678,4.5547676,-0.13291318037587288
-37.37,-72.67,R_BIOBIO_BIO-BIO_KM0093,10,5.082484,-4.970051,0.484057300323859
-39.52,-62.83,R_COLORADO-01_COLORADO_KM0097,10,1.6756248,1.6383953,0.7162074274461396
-37.23,-72.63,R_BIOBIO_LAJA_KM0090,10,1.6153383,1.402504,0.2606283623986284
-37.21,-72.45,R_BIOBIO_LAJA_KM0111,10,2.861546,-2.7376938,0.2569589471409306
-39.48,-63.06,R_COLORADO-01_COLORADO_KM0126,10,0.9891595,0.6769562,0.6008668426001056
-38.71,-72.91,R_CAUTIN_CHOL-CHOL_KM0067,10,4.826909,4.80303,0.9318600979871855
-39.33,-63.36,R_COLORADO-01_COLORADO_KM0172,10,4.2248898,-4.167351,0.22397052933623862
-38.75,-73.36,R_CAUTIN_IMPERIAL_KM0005,10,1.6494207,1.5342438,0.41970195487193446
-39.32,-63.47,R_COLORADO-01_COLORADO_KM0184,10,1.4841666,1.2138824,0.25773274024122717
-38.72,-73.35,R_CAUTIN_IMPERIAL_KM0008,10,1.4970126,1.3436949,0.7042121680828125
-39.1,-63.87,R_COLORADO-01_COLORADO_KM0254,10,0.6429799,-0.0690918,-0.028323925799221595
-38.71,-73.1,R_CAUTIN_IMPERIAL_KM0039,10,1.7388977,1.6632698,0.8853001253964504
-39.11,-63.9,R_COLORADO-01_COLORADO_KM0257,10,1.2905223,-1.180069,0.5314796072887017
-38.81,-72.88,R_CAUTIN_QUEPE_KM0064,10,1.3118744,-1.2056293,0.5857363139902437
-38.91,-64.28,R_COLORADO-01_COLORADO_KM0311,10,2.3531208,-2.1194687,0.3392489551157256
-36.39,-72.83,R_ITATA_ITATA_KM0002,10,1.0451727,-1.0027521,0.7181860868054553
-38.87,-64.44,R_COLORADO-01_COLORADO_KM0335,10,2.5537643,-2.384636,0.19253543682332636
-36.51,-72.66,R_ITATA_ITATA_KM0026,10,4.979775,-4.9616385,0.6782146393835979
-38.83,-64.92,R_COLORADO-01_COLORADO_KM0385,10,2.3871858,-2.3322372,0.611833884478277
-36.64,-72.45,R_ITATA_NUBLE_KM0053,20,7.119633,-7.1024513,0.6743522566605176
-38.81,-65.18,R_COLORADO-01_COLORADO_KM0412,10,0.664646,0.19476318,0.3289681405709117
-38.84,-65.39,R_COLORADO-01_COLORADO_KM0437,10,3.4244032,-3.3903656,0.17782660774000353
-38.81,-65.47,R_COLORADO-01_COLORADO_KM0447,10,0.5420397,0.27929688,0.41038846306209914
-35.0,-71.95,R_MATAQUITO_MATAQUITO_KM0032,10,1.1466316,1.1187072,0.6066147005761202
-38.82,-65.65,R_COLORADO-01_COLORADO_KM0473,10,2.5230348,-2.4874115,0.6265999715490799
-35.42,-72.08,R_MAULE_MAULE_KM0042,10,2.5091603,-2.4532557,0.5199553409948282
-38.79,-65.87,R_COLORADO-01_COLORADO_KM0505,10,5.0168395,-4.996994,0.33319449619741137
-35.43,-72.06,R_MAULE_MAULE_KM0045,10,5.344556,5.28986,-0.08162733773435521
-38.73,-66.09,R_COLORADO-01_COLORADO_KM0537,10,0.6090093,-0.22950745,0.3847637861346906
-38.75,-66.35,R_COLORADO-01_COLORADO_KM0572,10,0.78087616,-0.6344452,0.5257374241876459
-35.83,-71.94,R_MAULE_PERQUILAUQUEN_KM0138,20,4.41772,4.3992767,0.6782094715467625
-38.7,-66.55,R_COLORADO-01_COLORADO_KM0598,10,0.593029,-0.3765564,0.5892690517046948
-37.37,-70.33,R_NEGRO2_NEUQUEN_KM1159,20,16.486471,16.474121,0.43241582813187696
-38.45,-66.93,R_COLORADO-01_COLORADO_KM0659,10,0.38319442,-0.12632751,0.6012509769043052
-38.25,-67.34,R_COLORADO-01_COLORADO_KM0722,10,2.510633,2.3614502,0.21582592268372444
-34.0,-71.66,R_RAPEL_RAPEL_KM0033,20,11.40785,11.341076,-0.2859260238462725
-38.25,-67.44,R_COLORADO-01_COLORADO_KM0732,10,2.0656652,1.7367859,0.43822616472829684
-38.07,-67.75,R_COLORADO-01_COLORADO_KM0775,10,1.6450583,-1.5470886,0.7435936764415743
-34.38,-71.43,R_RAPEL_TINGUIRIRICA_KM0090,20,2.8885758,-2.7974854,0.038852502089345
-39.02,-72.81,R_TOLTEN_TOLTEN_KM0064,20,2.6409206,-2.3985634,0.20260190486354787
-39.79,-73.02,R_VALDIVIA_CALLE-CALLE_KM0040,10,2.4074934,2.3111053,0.679913712963762
-36.71,-57.17,R_AJO_AJO_KM0110,10,1.0887802,1.0625505,0.49611447289773714
-39.75,-72.5,R_VALDIVIA_CALLE-CALLE_KM0105,20,4.6808233,4.5416565,0.8943293445093744
-31.13,-51.79,R_CAMAQUA_CAMAQUA_KM0026,20,1.506726,-0.6368599,0.611605099674081
-30.97,-52.09,R_CAMAQUA_CAMAQUA_KM0080,20,2.3177235,-2.124176,0.8316570823213643
-37.6,-68.07,R_COLORADO-01_COLORADO_KM0887,20,0.9814103,0.21484375,0.23510040828689469
-37.45,-68.63,R_COLORADO-01_COLORADO_KM0950,10,2.7463267,-2.7216187,0.40840343421093006
-30.93,-52.55,R_CAMAQUA_CAMAQUA_KM0144,20,2.9017,-2.7821045,0.6557647819949299
-30.9,-52.79,R_CAMAQUA_CAMAQUA_KM0178,10,1.7442749,-1.2347527,0.8199797080513129
-30.99,-53.23,R_CAMAQUA_CAMAQUA_KM0249,20,5.164024,5.0658035,0.5324310854973159
-34.35,20.66,R_BREEDE_BREEDE_KM0020,10,1.2385596,0.9734325,0.029405890886237785
-31.78,-52.32,R_CEBOLLATI_CANAL-SAO-GONCALO_KM0008,10,0.72644323,0.642768,0.5227432066581905
-34.26,21.77,R_GAMKA_GOURITS_KM0017,20,2.0516515,1.9385052,0.004316172559010986
-33.65,24.67,R_GROOT_GROOT_KM0117,10,9.534342,-9.382172,0.13386546418761094
-32.06,-52.46,R_CEBOLLATI_CANAL-SAO-GONCALO_KM0052,10,0.9237379,0.8932382,0.8754400405817393
-37.35,-66.59,R_COLORADO-01_DESAGUADERO_KM0740,20,7.430248,7.4208984,-0.3171437811398262
-33.34,-53.97,R_CEBOLLATI_CEBOLLATI_KM0308,10,5.281577,5.1452746,0.5298435023320985
-32.63,-53.24,R_CEBOLLATI_JAGUARAO_KM0185,10,1.1736677,1.1123458,0.9018711564042712
-30.45,25.16,R_ORANGE_ORANGE_KM1506,10,4.760365,2.8171387,-0.6742145743660073
-30.48,25.18,R_ORANGE_ORANGE_KM1511,10,2.8018074,1.6243896,-0.593539192176886
-31.99,-52.48,R_CEBOLLATI_PIRATINI_KM0049,10,1.3571098,1.2923689,0.7658464744674237
