time,chainage [m],lat,lon,observed height [m],outlier
20120610 08:56:16,247791.37,29.343625,84.480037,4533.29,0
20121127 12:37:29,247791.37,29.345955,84.481517,4533.34,0
20130613 14:40:01,247823.59,29.346571,84.482397,4533.56,0
20121127 12:37:29,247920.01,29.343269,84.481471,4533.22,0
20101122 01:08:13,248156.3,29.345243,84.485444,4533.07,0
20111125 06:52:51,248180.72,29.342163,84.483818,4533.6,0
20130613 14:40:01,248243.89,29.343974,84.485676,4533.47,0
20101122 01:08:13,248295.64,29.342563,84.485403,4533.06,0
20130613 14:40:01,248438.74,29.341296,84.486282,4533.42,0
20101122 01:08:13,248637.83,29.339845,84.486618,4532.89,0
20130906 22:33:44,249485.44,29.335108,84.493462,4860.78,1
20130220 08:24:26,249966.57,29.332241,84.497139,4535.69,0
20121127 12:37:29,250119.85,29.331996,84.498578,4533.08,0
20111125 06:52:51,252477.82,29.316951,84.515797,4532.05,0
20130906 10:27:08,252620.13,29.317403,84.5182,4534.56,0
20111125 06:52:51,252662.79,29.314264,84.515594,4532.04,0
20110214 20:55:23,252887.07,29.314888,84.520585,4533.08,0
20130906 10:27:08,252887.07,29.314766,84.519174,4534.82,0
20111125 06:52:51,253085.74,29.311478,84.518616,4531.83,0
20111125 06:52:51,253382.69,29.30879,84.518461,4531.75,0
20111125 06:52:51,253674.14,29.306122,84.517621,4531.83,0
20130220 08:24:26,254364.96,29.301858,84.514721,4533.91,0
20111125 06:52:51,254461.99,29.300832,84.514442,4531.6,0
20130220 08:24:26,254905.49,29.29929,84.509941,4533.84,0
20110214 20:55:23,254988.81,29.29616,84.512006,4532.18,0
20111125 06:52:51,255782.38,29.290148,84.511525,4531.29,0
20130906 10:27:08,256765.99,29.285457,84.520315,4533.71,0
20130220 08:24:26,260226.13,29.263214,84.535985,4528.6,0
20110831 22:58:39,264155.62,29.254962,84.573982,4934.18,1
20120512 22:27:55,267712.25,29.252982,84.605909,4522.94,0
20110510 16:42:53,267807.91,29.254151,84.606098,4522.68,0
20121127 00:30:49,268147.43,29.256328,84.608549,4521.26,0
20110510 16:42:53,269165.81,29.264752,84.614191,4522.62,0
20111124 18:46:18,272154.27,29.283319,84.62549,4517.58,0
20121127 00:30:49,272379.81,29.284058,84.627979,4517.43,0
20130516 04:11:38,273309.88,29.285501,84.637634,4518.56,0
20100731 06:45:36,273907.57,29.278767,84.643713,5191.27,1
